title,year,genre,rating,votes,plot,tags
Unruly Heroes,2019,action,6.5,14,Missing,"['singleplayer', 'multiplayer', 'full controller support', 'co-op', 'online multiplayer', 'local co-op', 'local multiplayer', 'puzzle-platformer', 'cartoon', 'martial arts', 'fighting-games', 'beat them all']"
Hexic 2,2007,action,6.5,17,Missing,['exclusive']
NHL 20,2019,sport,6.5,81,"EA SPORTS NHL 20 introduces cutting-edge gameplay innovation to showcase your skills, more customization to unlock your style, and new modes to compete with friends.","['ice', 'sport']"
Superman: The Game,1985,"action, adventure, sci-fi",6.5,14,"Superman: The Game is a game of nail-biting strategy and stunning action. The game' setting in Metropolis, where Darkseid's reign of terror has begun. Darkseid seeks to capture the citizens...                See full summary »",['singleplayer']
Plants vs. Zombies: Battle for Neighborville,2019,"animation, action, adventure",6.5,159,Join team plants or zombies in the battle over the city of neighbourville all your favourites return with a few new faces,"['singleplayer',  'multiplayer', 'full controller support', 'horror', 'online co-op', 'funny', 'tactical', 'third-person shooter', 'anime', 'zombies', 'pvp', 'nudity', 'online pvp', 'pve', 'cartoony', 'tower defense', 'hero shooter', 'non violent']"
Oninaki,2019,"action, adventure, fantasy",6.5,11,Missing,"['singleplayer',  'full controller support', 'rpg', 'violent', 'role-playing']"
Humankind,2021,adventure,6.5,41,"Create your own civilization by combining 60 historical cultures from the Ancient to the Modern Age. Each culture brings its own special gameplay layer, leading to near-endless outcomes.","['singleplayer', 'multiplayer', 'online multiplayer', 'historical', 'turn-based strategy']"
Crash of the Titans,2007,"action, adventure, family",6.5,557,Crash must stop Doctor Neo Cortex from using magical mojo to turn his island's inhabitants into monstrous Titans.,"['singleplayer', 'multiplayer']"
Castle Wolfenstein,1981,action,6.5,127,Castle Wolfenstein is 2D stealth-based action-adventure game set in World War II. The game's main objective is to traverse the levels of the castle to find the secret war plans and escape alive.,['singleplayer']
Miami Vice,2004,action,6.5,43,"Based on the 1980s hit cop show, the game let's you play as Miami police detectives Crockett and sometimes Tubbs, who are after a dangerous drug lord, Manuel Ortega.",['singleplayer']
