title,year,genre,rating,votes,plot,tags
The Last of Us: Part I,2022,"action, adventure, drama",9.8,601,"Experience the emotional storytelling and unforgettable characters in The Last of Us, winner of over 200 Game of the Year awards, now rebuilt from the ground up for the PlayStation 5 console.","['singleplayer', 'multiplayer', 'full controller support', 'atmospheric',  'great soundtrack', 'story rich', 'third person', 'horror', 'gore', 'violent', 'third-person shooter', 'action-adventure', 'zombies', 'post-apocalyptic', 'survival horror', 'cinematic', 'realistic', 'remake', 'drama', 'emotional', 'remote play on tv']"
Red Dead Redemption II,2018,"action, adventure, crime",9.7,36441,"Amidst the decline of the Wild West at the turn of the 20th century, outlaw Arthur Morgan and his gang struggle to cope with the loss of their way of life.","['singleplayer', 'multiplayer', 'atmospheric', 'great soundtrack', 'co-op', 'story rich', 'open world', 'first-person', 'third person', 'partial controller support', 'fps', 'online co-op', 'gore', 'exploration', 'sandbox', 'violent', 'third-person shooter', 'pvp', 'in-app purchases', 'mature', 'historical', 'cinematic', 'realistic', 'crime', 'online pvp', 'blood', 'america', 'masterpiece', 'beautiful', 'hunting', 'western']"
The Witcher 3: Wild Hunt - Blood and Wine,2016,"action, adventure, drama",9.7,7610,Geralt is in the southern province of Toussaint where a monstrous serial killer is targeting knights with a dark past. Geralt and his old vampire friend investigate the killer's motives.,"['horror', 'war', 'blood', 'love']"
The Witcher 3: Wild Hunt,2015,"action, adventure, drama",9.7,26328,A monster hunter for hire embarks on an epic journey to find his former apprentice before The Wild Hunt can capture her and bring about the destruction of the world.,"['singleplayer', 'full controller support', 'atmospheric', 'great soundtrack', 'rpg', 'story rich', 'open world', 'third person', 'fantasy', 'sandbox', 'action rpg', 'dark', 'nudity', 'controller support', 'choices matter', 'mature', 'dark fantasy', 'medieval', 'magic', 'multiple endings']"
The Last of Us,2013,"action, adventure, drama",9.7,61103,"In a hostile, post-pandemic world, Joel and Ellie, brought together by desperate circumstances, must rely on each other to survive a brutal journey across what remains of the United States.",['exclusive']
Mass Effect: Legendary Edition,2021,"action, adventure, sci-fi",9.7,1628,A compilation of the first three Mass Effect games.,"['singleplayer', 'full controller support', 'atmospheric', 'great soundtrack', 'rpg', 'story rich', 'sci-fi', 'classic', 'female protagonist', 'action rpg', 'third-person shooter', 'space', 'nudity', 'character customization', 'choices matter', 'military', 'combat', 'sexual content', 'steam trading cards', 'tactical rpg', 'remote play on tv', 'ea play']"
God of War,2018,"action, adventure, drama",9.6,26507,"After wiping out the gods of Mount Olympus, Kratos moves on to the frigid lands of Scandinavia, where he and his son must embark on an odyssey across a dangerous world of gods and monsters.","['atmospheric', 'story rich', 'hack and slash', 'blood', 'mythology']"
Persona 5 Royal,2019,"action, adventure, fantasy",9.6,1214,A group of high school students create a vigilante group to expose the crimes of corrupt adults but soon find themselves in the midst of a worldwide conspiracy and targeted by powerful individuals who would do anything to silence them.,"['singleplayer',  'full controller support',  'great soundtrack', 'rpg', 'story rich', 'violent', 'anime', 'colorful', 'turn-based strategy', 'sexual content', 'multiple endings', 'jrpg', 'steam trading cards', 'visual novel', 'detective', 'turn-based combat', 'heist', 'dating sim', 'soundtrack', 'party-based rpg', 'emotional']"
The Legend of Zelda: Ocarina of Time,1998,"action, adventure, fantasy",9.6,9576,A young Kokiri boy discovers that his destiny is to free the Seven Sages and save the land of Hyrule from the treacherous sorcerer Ganondorf.,['singleplayer']
Metal Gear Solid,1998,"action, adventure, drama",9.6,11809,"A crack government anti-terrorist squad takes over an obscure Alaskan nuclear disposal facility. Solid Snake is up for the task to infiltrate the facility, rescue the two hostages and thwart the terrorists' plans.","['singleplayer', 'exclusive']"
The Witcher 3: Wild Hunt - Hearts of Stone,2015,"action, adventure, drama",9.5,6302,"Geralt is forced by a seemingly harmless merchant with sinister powers to complete three difficult tasks for a bored immortal, once a troubled nobleman who made a deal with the devil.","['romance', 'monsters', 'hunt', 'pack']"
Uncharted 4: A Thief's End,2016,"action, adventure, drama",9.5,28985,"Thrown back into the dangerous underworld he'd tried to leave behind, Nathan Drake must decide what he's willing to sacrifice to save the ones he loves.","['atmospheric', 'action-adventure']"
The Legend of Zelda: Breath of the Wild,2017,"action, adventure, fantasy",9.5,7253,"After a century of hibernation, Link reawakens to once again save a ruined Hyrule from a great evil.","['rpg', 'open world', 'sandbox', 'action-adventure', 'exclusive']"
Grand Theft Auto V,2013,"action, crime, drama",9.5,60381,Three very different criminals team up for a series of heists and walk into some of the most thrilling experiences in the corrupt city of Los Santos.,"['singleplayer',  'multiplayer', 'full controller support', 'atmospheric', 'great soundtrack', 'rpg', 'co-op', 'open world', 'first-person', 'third person', 'funny', 'sandbox', 'comedy', 'third-person shooter', 'moddable', 'crime', 'vr mod']"
Mass Effect 2,2010,"action, adventure, drama",9.5,19961,"After being revived from death and having to join a pro-human organization without a choice, Commander Shepard must assemble a team, battle a new threat, and make tough choices in order to save the galaxy from total annihilation once more.","['singleplayer', 'atmospheric', 'great soundtrack', 'rpg', 'story rich', 'third person', 'sci-fi', 'classic', 'female protagonist', 'action rpg', 'third-person shooter', 'space', 'character customization', 'choices matter', 'cinematic', 'real-time with pause', 'romance']"
Red Dead Redemption,2010,"action, adventure, crime",9.5,26767,A former outlaw is forced by the federal government to hunt down the members of his old gang.,"['multiplayer', 'combat', 'shoot', 'waves', 'nightmare', 'clone']"
Half-Life: Alyx,2020,"action, adventure, horror",9.5,737,"A VR game of an impossible fight against a vicious alien race known as the Combine, set between the events of Half-Life and Half-Life 2. Play as Alyx Vance, humanity's only chance for survival.","['singleplayer',  'atmospheric', 'great soundtrack', 'story rich', 'first-person', 'sci-fi', 'horror', 'fps', 'female protagonist', 'steam workshop', 'zombies', 'includes level editor', 'captions available', 'futuristic', 'memes', 'aliens', 'vr', 'masterpiece', 'beautiful', 'vr support', 'vive']"
Elden Ring,2022,"action, adventure, fantasy",9.5,4378,"In a dark fantasy world created by Hidetaka Miyazaki (Dark Souls) and George R. R. Martin (A Song of Ice and Fire), the player is a Tarnished who is called back to the Lands Between to restore the Elden Ring and become the Elden Lord.","['singleplayer',  'multiplayer', 'full controller support', 'atmospheric', 'great soundtrack', 'rpg', 'co-op', 'open world', 'third person', 'online co-op', 'fantasy', 'difficult', 'violent', 'action rpg', 'pvp', 'dark fantasy', 'online pvp', 'steam trading cards', 'epic', 'souls-like', 'history']"
Metal Gear Solid 3: Snake Eater,2004,"action, adventure, drama",9.5,10477,"In 1964, a U.S. government operative codenamed ""Snake"" must infiltrate mountainous Soviet territory to rescue a scientist building a weapon of terrible power.",['stealth']
Star Wars: Knights of the Old Republic,2003,"action, adventure, fantasy",9.5,8633,"A republic soldier, training to become a Jedi Knight, is given the task of halting the conquest of Darth Malak by discovering the location of a weapon known as the Star Forge.","['atmospheric',  'great soundtrack', 'rpg', 'story rich', 'third person', 'sci-fi', 'fantasy', 'classic', 'exploration', 'female protagonist', 'space', 'role-playing', 'moddable', 'turn-based', 'choices matter', 'real-time with pause', 'party-based rpg', 'star wars', 'single player only']"
Chrono Trigger,1995,"action, adventure, fantasy",9.5,3021,"Crono, a young boy, is thrust to adventure by destiny to destroy an oncoming threat that will destroy the world in 1999.","['singleplayer', 'multiplayer', 'role-playing', 'jrpg']"
Final Fantasy VII,1997,"action, adventure, fantasy",9.5,10452,A former soldier from an evil company joins a mercenary clan to fight the company he once served.,"['atmospheric', 'rpg', 'exploration', 'action-adventure', 'exclusive', 'cinematic', 'jrpg', 'role playing game']"
Uncharted: The Nathan Drake Collection,2015,"action, adventure, fantasy",9.4,5436,"A remastered collection of Uncharted: Drake's Fortune (2007), Uncharted 2: Among Thieves (2009), and Uncharted 3: Drake's Deception (2011) for PlayStation 4.","['online', 'epic', 'race', 'collection', 'treasure', 'dog', 'friendship']"
Bloodborne: The Old Hunters,2015,"action, adventure, fantasy",9.4,1550,"In this DLC for Bloodborne, the player-Hunter is transported to the sinister Hunter's Nightmare, a demented place where hunters who become drunk with blood are sent to.",['souls-like']
The Elder Scrolls V: Skyrim,2011,"action, adventure, fantasy",9.4,29526,"After escaping execution, the last living Dragonborn must grow in strength and power to defeat the dragons that have once again begun to plague the land of Skyrim.","['singleplayer',  'atmospheric',   'great soundtrack', 'rpg', 'story rich', 'open world', 'first-person', 'third person', 'partial controller support', 'fantasy', 'sandbox', 'action rpg', 'steam workshop', 'role-playing', 'moddable', 'character customization', 'dark fantasy', 'medieval', 'magic', 'lore-rich', 'dragons']"
Portal 2,2011,"adventure, comedy, sci-fi",9.4,15687,"Many years after ""Portal,"" Chell reawakens at Aperture Science and tries to stop GLaDOS once again with the help of Wheatley, who has his own plans for the historical facility.","['singleplayer',  'multiplayer', 'full controller support', 'atmospheric',   'co-op', 'story rich', 'first-person', 'sci-fi', 'fps', 'online co-op', 'funny', 'female protagonist', 'comedy', 'local co-op', 'stats', 'steam workshop', 'space', 'includes level editor', 'captions available', 'commentary available', 'science']"
Batman: Arkham City,2011,"action, adventure, crime",9.4,30935,"When part of Gotham is turned into a private reserve for criminals known as Arkham City, all hell is sure to break loose, and the Dark Knight is the only one who can stop it.","['horror', 'story', 'city', 'soundtrack', 'flight', 'prison', 'skeletons']"
Uncharted: Legacy of Thieves Collection,2022,"action, adventure, drama",9.4,287,Nathan Drake and Chloe Frazer are forced to confront their pasts and forge their own legacies.,"['singleplayer',  'full controller support', 'atmospheric',  'great soundtrack', 'story rich', 'third person', 'funny', 'exploration', 'female protagonist', 'violent', 'stealth', 'controller', 'third-person shooter', 'action-adventure', 'cinematic', 'parkour', 'combat', 'puzzles', 'remote play on tv', 'ambient', 'qte']"
Uncharted 2: Among Thieves,2009,"action, adventure, fantasy",9.4,25191,"After being tracked down by Harry Flynn, Nathan Drake goes on a quest for Marco Polo's lost fleet. However when things take an unexpected turn for the worst, Drake must rely on those closest to him in order to find the Cintomani Stone.",['story']
Batman: Arkham Collection,2018,adventure,9.4,296,This contains all previous Arkham games apart from Batman Arkham origins and Batman Arkham origins blackgate,"['singleplayer', 'open world', 'dark', 'superhero', 'batman', 'comics']"
Metal Gear Solid 4: Guns of the Patriots,2008,"action, adventure, drama",9.4,10635,"When the nations of the world rely upon private military companies to fight their battles for them, renegade Liquid Ocelot emerges as the head of a potent coalition of mercenary powers. Solid Snake returns to save the world once again.",['exclusive']
Grand Theft Auto: San Andreas,2004,"action, crime",9.4,39797,"A family tragedy prompts gangster Carl ""CJ"" Johnson to return home, only to find it overrun by crime and corruption, which he must regain control of the streets before it gets even worse.","['singleplayer', 'multiplayer', 'atmospheric', 'great soundtrack', 'story rich', 'open world', 'third person', 'partial controller support', 'funny', 'classic', 'sandbox', 'comedy', 'moddable', 'mature', 'crime', 'driving', 'first person mod', 'remote play on tablet', 'remote play on phone', 'controversial', 'karaihb']"
Half-Life 2,2004,"action, adventure, sci-fi",9.4,16160,"Dr. Freeman is taken out of stasis by his ""employer"" to help rid the planet of invading aliens forces known as the Combine that entered through the portals he helped create.","['singleplayer',  'multiplayer', 'atmospheric',   'great soundtrack', 'story rich', 'first-person', 'sci-fi', 'partial controller support', 'horror', 'fps', 'classic', 'zombies', 'moddable', 'captions available', 'physics', 'aliens', 'dystopian', 'includes source sdk', 'silent protagonist', 'vr mod']"
Silent Hill 2,2001,"drama, horror, mystery",9.4,6645,"After receiving a letter from his late wife, from Silent Hill, James Sunderland makes his way to the town in an attempt to find her.","['atmospheric', 'great soundtrack', 'dark', 'survival horror', 'psychological-horror']"
Baldur's Gate II: Shadows of Amn,2000,"action, adventure, fantasy",9.4,2102,"Jon Irenicus, a sadistic secretive powerful mage bent on revenge, captures Gorion's ward and his/her party for a diabolical experiment.","['dark', 'magic', 'blood', 'battle', 'destruction', 'dragons', 'nature', 'destroy', 'traps', 'dungeons & dragons', 'defense', 'murder', 'treasure', 'school', 'dodge', 'wizards', 'dnd', 'dungeons-and-dragons', 'ad&d', 'd&d', 'forgotten realms', 'forgotten-realms']"
Planescape: Torment,1999,"adventure, drama, fantasy",9.4,2044,"In the city of Sigil, the only place from which all realities of the Planescape universe can be reached, an immortal amnesiac, the Nameless One, must uncover his past, the mystery of his immortality as well as who's trying to kill him.","['rpg', 'dark', 'combat', 'story', 'music', 'puzzles', 'city', 'dragons', 'party', 'soundtrack', 'nature', 'explore', 'secrets', 'collection', 'conversation', 'dialogue', 'cube', 'text', 'tablet', 'phone']"
Fallout 2: A Post-Nuclear Role-Playing Game,1998,"action, adventure, sci-fi",9.4,3866,"In a post-nuclear future, the descendant of an ancient exiled hero must leave his tribe in search of the Garden of Eden Creation Kit, the last chance of survival for his people.","['singleplayer', 'atmospheric',  'rpg', 'open world', 'sci-fi', 'difficult', 'classic', 'exploration', 'sandbox', 'tactical', 'retro', 'role-playing', 'turn-based', 'post-apocalyptic', 'isometric', 'multiple endings', 'turn-based combat', 'crpg']"
Ghost of Tsushima,2020,"action, adventure, drama",9.3,8707,"Set in 1274 on the Tsushima Island, the last samurai, Jin Sakai, must master a new fighting style, the way of the Ghost, to defeat the Mongol forces and fight for the freedom and independence of Japan.","['singleplayer', 'atmospheric', 'rpg', 'open world', 'third person', 'action-adventure', 'exclusive', 'japanese']"
Kingdom Hearts HD 1.5 + 2.5 Remix,2017,"action, adventure, family",9.3,666,A re-release of Kingdom Hearts HD 1.5 Remix and Kingdom Hearts HD 2.5 Remix on the Playstation 4.,"['dark', 'online', 'collection', 'square']"
Persona 5,2016,"action, adventure, fantasy",9.3,2672,A group of high school students create a vigilante group to expose the crimes of corrupt adults but soon find themselves in the midst of a worldwide conspiracy and targeted by powerful individuals who would do anything to silence them.,"['singleplayer', 'atmospheric', 'rpg', 'exploration', 'action-adventure', 'anime', 'jrpg', 'drama', 'lifestyle', 'japanese']"
The Orange Box,2007,"action, adventure, comedy",9.3,704,"The Orange Box is a collection of five games. Half life 2, Half life 2: Episode 1, Half life 2: Episode 2, Team Fortress 2 and Portal.","['multiplayer', 'space', 'aliens', 'story', 'puzzles', 'character', 'city', 'science', 'hero', 'destroy', 'environment', 'alien', 'traps', 'arena', 'animation', 'relationship', 'plants', 'box', 'color', 'metal']"
P.T.,2014,"horror, mystery",9.3,1790,"The player must navigate a series of continuously looping hallways, solving cryptic puzzles, all while being hunted by a hostile apparition named Lisa.","['atmospheric', 'first-person', 'horror', 'exploration', 'exclusive', 'mystery', 'cinematic', 'walking simulator']"
The Legend of Zelda: Ocarina of Time 3D,2011,"action, adventure, family",9.3,1110,"In this update to Nintendo's classic adventure game, a young man named Link must gather the three Spiritual Stones and awaken the Seven Sages in order to overthrow Ganondorf, a tyrannical warlock terrorizing the land of Hyrule.","['role-playing', 'exclusive']"
Disco Elysium - The Final Cut,2021,"comedy, crime, drama",9.3,370,"You're a detective with a unique skill system at your disposal and a whole city to carve your path across. Interrogate unforgettable characters, crack murders or take bribes. Become a hero or an absolute disaster of a human being.","['exclusive', 'detective', 'city', 'console', 'offline', 'hero', 'unique', 'block', 'disco']"
Kingdom Hearts II: Final Mix+,2007,"action, adventure, family",9.3,1286,Sora and friends must set out on another adventure to find his long lost friends and stop Organization XIII.,['exclusive']
Shadow of the Colossus,2005,"action, adventure, drama",9.3,4069,A young man brings a deceased woman to a forbidden land inhabited by colossal beings said to house the power to revive the dead.,"['atmospheric', 'dark', 'mystery', 'story', 'surreal', 'water', 'sword', 'sacrifice']"
Kingdom Hearts II,2005,"action, adventure, family",9.3,7177,"Sora and friends face mysterious new enemies as they continue their journey to save all worlds, and find Riku and King Mickey.",['exclusive']
The Legend of Zelda: A Link to the Past,1991,"action, adventure, fantasy",9.3,3427,"The wizard Agahnim has abducted seven maidens, intent on using their power to open a portal to the Dark World. Armed with a trusty sword and shield, Link begins a great and treacherous journey.","['dark', 'console', 'hero', 'princess', 'nes', 'zelda']"
The Secret of Monkey Island,1990,"adventure, comedy, fantasy",9.3,3103,"Young pirate wanna-be Guybrush Threepwood sets out to pass the Three Trials, woo the governess Elaine Marley, reach the fabled Monkey Island and vanquish the nefarious ghost pirate LeChuck.","['singleplayer', 'comedy', 'point & click', 'dark humor']"
Monkey Island 2: LeChuck's Revenge,1991,"adventure, comedy, fantasy",9.3,2367,"Having vanquished the ghost pirate LeChuck with a soft drink, Guybrush Threepwood now seeks the treasure of Big Whoop. During his quest he discovers LeChuck is back from the dead. Once again.","['singleplayer', 'comedy', 'point & click', 'dark humor', 'pirates']"
How Zorak Stole X-Mas,1998,"action, comedy, fantasy",9.2,5,Space Ghost has to stop Zorak and Brak from attempting to ruin Christmas.,"['christmas', 'xmas', 'x-mas']"
Spider-Man,2018,"action, adventure, fantasy",9.2,21197,"When a new villain threatens New York City, Peter Parker and Spider-Man's worlds collide. To save the city and those he loves, he must rise up and be greater.","['fun', 'rage']"
Batman: Return to Arkham,2016,"action, adventure, crime",9.2,1813,Batman: Return to Arkham thrusts players back into the environments of Arkham Asylum and Arkham City with a remastered graphics engine and all DLC.,"['dark', 'story', 'online', 'comic book', 'city', 'batman', 'comics', 'hospital', 'clowns']"
Detroit: Become Human,2018,"action, adventure, drama",9.2,17135,Take control of three androids in their quest to discover who they really are.,"['singleplayer',  'full controller support', 'atmospheric',  'great soundtrack', 'story rich', 'third person', 'sci-fi', 'exploration', 'female protagonist', 'violent', 'action-adventure', 'exclusive', 'replay value', 'choices matter', 'futuristic', 'cinematic', 'cyberpunk', 'multiple endings', 'robots', 'detective', 'drama', 'america', 'narration', 'beautiful', 'emotional', 'dynamic narration', 'remote play on tv', 'european', 'futurism']"
Mobile Fighter G-Gundam,1994,action,9.2,7,A fighting game for the Super Famicom.,"['multiplayer', 'space', 'exclusive',  'online', 'battle', 'friends', 'fight']"
Bloodborne,2015,"action, adventure, fantasy",9.2,5525,"A hunter awakens in the plagued lands of Yharnam, where the denizens have succumb to beast hood, in an attempt to learn the truth and how to end the plague, unbeknownst of the true horror lurking within the city.","['atmospheric', 'story rich', 'third person', 'exploration', 'exclusive', 'character customization', 'dark fantasy']"
Persona 4 Golden,2012,"action, adventure, fantasy",9.2,1070,"A group of high school students discover a hidden TV world called 'The Midnight Channel', an alternate reality infested with shadows that is being used to commit murder. After awakening to their Personas, the group decides to investigate.","['singleplayer',  'full controller support',  'great soundtrack', 'rpg', 'story rich', 'violent', 'anime', 'exclusive', 'mystery', 'colorful', 'turn-based strategy', 'sexual content', 'multiple endings', 'jrpg', 'steam trading cards', 'visual novel', 'detective', 'turn-based combat', 'dating sim', 'party-based rpg', 'emotional']"
The Walking Dead,2012,"drama, horror, sci-fi",9.2,12776,"In a world devastated by the undead, a convicted criminal is given a second chance at life when he comes across a little girl named Clementine.","['singleplayer', 'full controller support', 'atmospheric', 'story rich', 'third person', 'horror', 'gore', 'survival', 'zombies', 'point & click', 'post-apocalyptic', 'choices matter', 'mature', 'visual novel', 'drama', 'episodic', 'comic book', 'quick-time events', 'choose your own adventure']"
Sonic the Hedgehog Forever,2021,"action, adventure, family",9.2,6,"Sonic the Hedgehog Forever is a PC fan-remake of the original Sonic the Hedgehog, It provides many enhancements over the original game, such as widescreen support, 60FPS at all-times, mod support, and other additions.","['sonic', 'platform', 'janky', 'worst']"
Super Mario World: Super Mario Advance 2,2001,"action, adventure, fantasy",9.2,14,In this remake of the original Super Mario World (1990) and the original arcade game Mario Bros. (1983). Mario is back for more old school Game Boy Advance fun.,"['console', 'island', 'fire', 'nes', 'mario', 'flower']"
Fire Pro Wrestling World,2017,action,9.2,6,Missing,"['singleplayer',  'multiplayer', 'full controller support',  'partial controller support', 'online multiplayer', 'split screen', 'local multiplayer', 'steam workshop', 'retro', 'early access', 'character customization', 'wrestling']"
It Takes Two,2021,"adventure, comedy, drama",9.2,2259,"Embark on the craziest journey of your life in It Takes Two, a genre-bending platform adventure created purely for co-op. Invite a friend to join for free with Friend's Pass and work ...                See full summary »","[ 'multiplayer', 'full controller support', 'co-op', 'story rich', 'online co-op', 'exploration', 'female protagonist', 'split screen', 'local co-op', 'action rpg', 'action-adventure', 'magic', 'story', 'steam trading cards', 'online', 'character', 'console', 'emotional', 'offline', 'remote play together', 'shared/split screen co-op', 'work', 'co-op campaign', 'night', 'journey', 'minigames', 'love', 'light', 'mining', 'treasure', 'relationship', 'learn', 'obstacles', 'delivery']"
Omori,2020,"adventure, drama, fantasy",9.2,405,A young man and his friends set out a quest to find a missing person while confronting his traumatic past and fears.,"['singleplayer',  'rpg', 'partial controller support']"
Shin Megami Tensei: Persona 4,2008,"action, adventure, fantasy",9.2,1046,"A high school student forms a group that explores a hidden world accessible through TV sets to find a connection between the ""realm of shadows"" and the mysterious murders in their town.","['atmospheric', 'rpg', 'exploration', 'action-adventure', 'anime', 'cinematic', 'jrpg', 'drama', 'japan', 'lifestyle', 'japanese-style', 'life simulation']"
Rain World,2017,"action, adventure, fantasy",9.2,14,A small creature must traverse a savage and violent world in order to find his family.,"['singleplayer',  'multiplayer', 'full controller support', 'atmospheric', 'great soundtrack', 'horror', 'difficult', 'exploration', 'survival', 'stealth', 'pixel graphics', 'controller support', 'post-apocalyptic', 'survival horror', 'cute', 'physics', 'metroidvania', 'overlay']"
Batman: Arkham Asylum,2009,"action, adventure, crime",9.2,27733,You control Batman as he fights to subdue The Joker and his fellow inmates when they seize control of the Asylum on Arkham Island.,"['exploration', 'stealth', 'puzzles', 'island', 'hero']"
Horizon Forbidden West,2022,"action, adventure, mystery",9.2,3129,Aloy treks into an arcane region and faces new hostile enemies and threats in search of a way to heal the world from a deadly blight and catastrophic storms.,"['singleplayer', 'atmospheric', 'rpg', 'story rich', 'open world', 'third person', 'sci-fi', 'female protagonist', 'exclusive', 'post-apocalyptic', 'robots', 'beautiful', 'hunting', 'archery']"
The Walking Dead: The Telltale Definitive Series,2019,"drama, horror, thriller",9.2,507,The popular award-winning episodic zombie apocalypse game series comes back. All 4 seasons + Michonne Mini-series + 400 Days DLC and some exclusives as a whole. The game is remastered by Skybound Games. The graphics and menus are reworked.,"['story rich', 'horror', 'gore', 'zombies', 'post-apocalyptic', 'choices matter', 'comic']"
Trogdor!,2003,"action, comedy, fantasy",9.2,6,Play as Trogdor so you can burninate the countryside and the thatch roof cottages.,"['pixel graphics', 'remake', 'fangame']"
God of War II,2007,"action, adventure, fantasy",9.2,9156,"After being betrayed by the gods of Olympus and annulled of his divine powers, Kratos must embark on a journey to meet the Sisters of Fate and take his revenge on Olympus.","['war', 'story', 'console', 'mythology', 'history', 'murder', 'quick', 'god', 'numbers', 'santa']"
Resident Evil 4,2005,"action, adventure, fantasy",9.2,13201,"Six years after the events in Raccoon City, Leon Kennedy, now a federal agent, is sent to a rural part of Spain to rescue the U.S. President's kidnapped daughter, Ashley Graham from a sinister cult.","['singleplayer',  'story rich', 'third person', 'horror', 'gore', 'survival', 'violent', 'third-person shooter', 'action-adventure', 'dark', 'zombies', 'survival horror', 'crafting', 'cinematic', 'realistic', 'resource management', 'un jugador', 'logros de steam', 'compat. total con control']"
Mafia: The City of Lost Heaven,2002,"action, crime, drama",9.2,5928,You play a 1930s mobster as you act out your confession of your rise in the ranks of organized crime.,"['singleplayer', 'story rich', 'open world', 'third person', 'classic', 'violent', 'action-adventure', 'mafia']"
Kingdom Hearts,2002,"action, adventure, family",9.2,7362,"When his world is destroyed and his friends mysteriously disappear, a young boy named Sora is thrust into a quest to find his missing friends and prevent the armies of darkness from destroying many other worlds.","['story', 'friends', 'island', 'girl', 'castle', 'wizard']"
Grand Theft Auto: Vice City,2002,"action, crime, drama",9.2,26495,"After being released from jail, Tommy Vercetti leaves Liberty City for Vice City, a city overrun by the mob. Now, Tommy is out to make Vice City his home.","['singleplayer', 'multiplayer', 'atmospheric', 'great soundtrack', 'open world', 'third person', 'partial controller support', 'funny', 'classic', 'sandbox', 'violent', 'third-person shooter', 'moddable', 'mature', 'crime', 'driving', 'first person mod']"
Max Payne,2001,"action, crime, drama",9.2,15085,"A troubled NYPD cop is framed for murder and finds himself being hunted by the police, the mob, and a ruthless corporation.","['singleplayer', 'classic', 'third-person shooter', 'noir', 'first person mod']"
Castlevania: Symphony of the Night,1997,"action, adventure, fantasy",9.2,1605,"Richter Belmont has vanished just as Castlevania reemerged from the mists. Meanwhile, Alucard, the bastard son of Dracula, has awakened from his eternal slumber, intent on destroying his evil father once and for all.","['singleplayer', 'rpg', 'music', 'achievements', 'battle', 'console', 'castle', 'dash']"
Super Mario Bros. 3,1988,"action, adventure, family",9.2,5230,"King Koopa has kidnapped Princess Toadstool, taken over all seven kingdoms in the Mushroom World, and put his seven kids in charge of all of them. It's the Mario Brothers to the rescue.","['singleplayer', 'multiplayer']"
Half-Life,1998,"action, sci-fi, thriller",9.2,10211,Dr. Gordon Freeman must fight his way out of a secret research facility after a teleportation experiment goes disastrously wrong.,"['singleplayer', 'multiplayer', 'atmospheric', 'great soundtrack', 'story rich', 'first-person', 'sci-fi', 'fps', 'funny', 'difficult', 'classic', 'retro', 'moddable', 'aliens', 'valve anti-cheat enabled', 'linear', 'silent protagonist', 'vr mod']"
Super Mario World,1990,"action, adventure, family",9.2,4875,"While Mario and Luigi are vacationing in Dinosaur Land, Bowser kidnaps the Princess. Mario and his new dino friend Yoshi go on a mission to save her.","['singleplayer', 'multiplayer']"
StarCraft,1998,"action, adventure, sci-fi",9.2,5235,"In 2499 in the Koprulu sector, a ferocious collective race known as the Zerg arrives to massacre the exiled human colonies while a highly advanced race, the Protoss, intervenes to exterminate the Zerg.","['singleplayer', 'multiplayer', 'exclusive']"
Fallout: A Post-Nuclear Role-Playing Game,1997,"action, adventure, sci-fi",9.2,3779,"After being sent by the overseer of his vault to search for a new water purifying chip, the player discovers the horrors of post apocalyptic America, and the threat of the Master's Army.","['singleplayer', 'atmospheric',  'rpg', 'open world', 'sci-fi', 'difficult', 'classic', 'exploration', 'sandbox', 'tactical', 'retro', 'role-playing', 'turn-based', 'post-apocalyptic', 'isometric', 'multiple endings', 'turn-based combat', 'crpg']"
Astro Bot: Rescue Mission,2018,sci-fi,9.1,198,"ASTRO BOT Rescue Mission is a brand new platformer, developed exclusively for use with PS VR. Take control of ASTRO the captain BOT and go on an epic VR rescue mission to save your fellow ...                See full summary »",['exclusive']
Resident Evil 2,2019,"action, horror, sci-fi",9.1,7125,"Re-imagining of Resident Evil 2 (1998), with a third-person over-the-shoulder view, new details, rearranged and new areas, no more loading screen doors, new puzzle solving opportunities, a gunpowder crafting mechanic and more.","['atmospheric', 'horror', 'action-adventure', 'zombies', 'survival horror', 'remake', 'quest']"
Umineko When They Cry Chiru,2009,"fantasy, horror, mystery",9.1,135,Missing,"['singleplayer',   'great soundtrack', 'horror', 'visual novel']"
Super Mario Odyssey,2017,"animation, action, adventure",9.1,4148,Mario must travel to worlds unknown in order to stop Bowser from marrying Princess Peach.,"['singleplayer', 'local multiplayer', 'exclusive', 'family friendly', 'cute',  'cult classic', 'kids']"
Dark Souls III,2016,"action, adventure, fantasy",9.1,4457,"The fire is fading. Darkness creeps across the land. The Lords of Cinder charged with watching over the First Flame have abandoned their thrones. The Champion of Ash, an undead is chosen to return them to their thrones.","['singleplayer',  'multiplayer', 'full controller support', 'atmospheric',  'great soundtrack', 'rpg', 'co-op', 'story rich', 'open world', 'third person', 'horror', 'difficult', 'exploration', 'action rpg', 'pvp', 'replay value', 'character customization', 'dark fantasy', 'lore-rich']"
Mob of the Dead,2013,"action, horror, thriller",9.1,870,"Mob of the Dead, featured in the DLC pack Uprising for Call of Duty: Black Ops II (2012) introduces a main Zombies map set in Alcatraz Prison around the 1930's.","['singleplayer',  'multiplayer', 'full controller support',  'co-op', 'first-person', 'horror', 'gore', 'violent', 'split screen', 'local co-op', 'local multiplayer', 'zombies', 'combat', 'remake', 'remote play together', 'shared/split screen co-op', 'old school', 'on-rails shooter']"
